nlLet;brLet;cbLet
a;images/br_a.png;images/cb_a.png
b;images/br_b.png;images/cb_b.png
c;images/br_c.png;images/cb_c.png
d;images/br_d.png;images/cb_d.png
e;images/br_e.png;images/cb_e.png
f;images/br_f.png;images/cb_f.png
g;images/br_g.png;images/cb_g.png
h;images/br_h.png;images/cb_h.png
i;images/br_i.png;images/cb_i.png
j;images/br_j.png;images/cb_j.png
k;images/br_k.png;images/cb_k.png
l;images/br_l.png;images/cb_l.png
m;images/br_m.png;images/cb_m.png
n;images/br_n.png;images/cb_n.png
o;images/br_o.png;images/cb_o.png
p;images/br_p.png;images/cb_p.png
q;images/br_q.png;images/cb_q.png
r;images/br_r.png;images/cb_r.png
s;images/br_s.png;images/cb_s.png
t;images/br_t.png;images/cb_t.png
u;images/br_u.png;images/cb_u.png
v;images/br_v.png;images/cb_v.png
w;images/br_w.png;images/cb_w.png
x;images/br_x.png;images/cb_x.png
y;images/br_y.png;images/cb_y.png
z;images/br_z.png;images/cb_z.png
